"","Country","Current.Account.Balance...GDP","Fertility.Rate","Infant.Mortaility.under.5.per.1.000","GDP.per.Capita","Life.Expectancy","X5.Year.Inflation","Unemployment","Literacy.Rate..2018.with.some.data.added.","Electricity.Consumption.2014","Manufacturing...GDP","Services...GDP","Ariculture...GDP","Urbanzation...Population","Government.Spending...GDP","GDP.growth","Natural.Reasorces...GDP","Bank.Account...pop..2014.data.","Female.Male.Bank.Accounts","Gender.Equality.Education","Ease.of.Doing.Buissness.Rank.2019.","Manufacturing.Growth","Services.Growth","Agriculture.Growth","Time.to.Pay.Taxes","Medium.and.High.Tech.Industry..","Homocides.per.100000","Suicides.per.100000","Alcohol.Consumption..2016.","Muslim.Population.Percent","Tariff.Rate.Weighted.Average","Gini.Index.2015.14","Migrant...Population","McDonalds.per.Million","Maternal.Mortality.per.100000","Air.Polution.Deaths.per.100000","Population.Growth.Rate","Exports...GDP","Capital.formation...GDP","CO2.Emissions.per.capita..2014.","Visa.Free.Passport.Destinations","Papers.per.Million","Higher.Education","Press.Freedom.Index.2016.","Age.at.First.Marriage..Female.","Median.Age..2018.","Economic.Complexity","Km.of.roads.per.Million.People..Different.Years.","Steel.Production.per.capita","Height.of.Tallest.Building..meters..2020","X..using.Internet","Hospital.Beds.per.1000..Different.Years.","Basic.Water.Services...Population","Tuberculosis.per.100000.people","Legality.of.Homosexuality..2019.","Legality.of.Marital.Rape..2020.","Wheat.Productivity.per.Hectare","Video.Game.Revenue.Per.Person..2019.","Log.Tourists.Population.","Log.Container.Port.Traffic.Per.Capita.","Log.Patent.Applications.per.Capita.","S.P.Credit.Rating","Year.2020.Constitution.was.adopted","Mortality.Rate.Unsafe.Water.per.100000","Bond.Yeild.8.29.2020","X2009.Importance.of.Religion","ISO3","ISO2","UN"
"44","Colombia",-6.325257846,1.863,15.7,6175.87603,76.531,16.68888225,8.298999786,95.09251,1312.157503,12.40089376,56.21554582,5.980424808,79.764,26.81567706,2.955945907,4.13447316,38.99901962,0.7643460637,1.02157,67,2.01168766,3.601218277,4.300324871,239,22.54245209,26.5,8.3,5.8,0.2,6.54,51.1,0.276047227,1.70452153,85,37,1.167245179,15.65021151,23.77369229,1.790356827,127,113.8437303,53.28214,44.11,NA,30,0.1,4350.254596,0,216,55.90497,1.5,96.68085,31,0,0,"1,615.30",6.775999167,-1.202666264,-1.113484512,-5.170377495,5,1991,0.8,5.34,83,"COL","CO","170"
"45","Comoros",NA,4.419,74.9,1271.057042,63.471,11.7319472,3.99000001,58.81702,NA,NA,54.54348426,30.03278344,28.47,NA,1.099964632,2.401702454,NA,NA,NA,160,NA,3.267209467,-0.538417221,100,NA,NA,6.8,0.9,98.3,5.04,45.3,1.592316297,0,285,172.4,2.347041066,10.13619831,13.63804028,0.2028127839,53,3.202885427,NA,24.33,NA,19.9,NA,1131.943444,0,36,7.459161,2.2,80.132,35,1,0,"",NA,-1.517745941,NA,NA,NA,2001,50.7,NA,97,"COM","KM","174"
"46","Cape Verde",-3.168414855,2.385,21.5,3043.013984,72.117,6.247309807,12.11400032,NA,NA,6.546492931,60.51862181,8.737394762,64.3,28.46711811,1.006863707,0.7602022445,NA,NA,1.01452,137,2.732576903,-0.3817929706,8.095724917,180,27.1,8.6,11,5.7,2,10.89,42.4,2.867232018,0,61,99.5,1.241420644,44.90744231,30.18659418,0.9481138173,66,20.10508001,23.06306,19.82,NA,25.4,NA,2572.687963,0,43,42.68,2.1,85.87882,64,0,0,"",NA,-0.003943310229,NA,NA,NA,1972,4.1,NA,NA,"CPV","CV","132"
"47","Costa Rica",-3.507490633,1.806,9.1,11299.13618,79.565,22.49197577,8.998999596,97.86379,1942.48817,11.37893584,67.39230276,4.956674948,76.862,29.42334494,3.631731441,1.077583675,64.55306244,0.8702193816,1.01672,74,-5.090966374,4.86964378,-2.727470921,151,17.31424569,11.6,7.9,4.8,0.1,NA,48.4,8.771009911,11.1390642,28,23.3,1.086952795,30.82494048,18.43282008,1.618087849,150,74.59872553,53.05263,11.1,NA,31.3,0.14,8048.592724,0,101.3,59.76295,1.2,99.52898,11,0,0,"",8.663716602,-0.2606634161,-0.6407701784,-5.455096131,4,1949,0.9,NA,79,"CRI","CR","188"
"48","Caribbean small states",NA,2.045250344,19.00248284,9916.666674,73.27301598,10.41242017,10.76891896,91.12809,3062.985323,9.171954453,62.93909005,3.752447588,50.78468403,29.07140991,1.168251237,5.096114942,NA,NA,1.03294,NA,-0.3630218113,2.313755273,2.541168274,174.7692308,NA,NA,9.13269559,6.027223944,NA,NA,NA,4.846093236,NA,89,42.29906069,0.6799671287,NA,NA,8.871219716,NA,65.18639996,22.95009,NA,NA,NA,NA,NA,NA,NA,50.29547,NA,94.33399,NA,0,NA,"",NA,-0.04904319062,-0.2500219505,NA,NA,NA,0.915753071,NA,NA,NA,NA,NA
"49","Cuba",NA,1.674,5.4,7694.01192,78.561,16.79850688,2.400000095,100,1450.883717,14.90824372,72.75888584,3.835515821,76.896,NA,4.438141959,0.8813994454,NA,NA,0.9852,NA,6.284112701,3.207072005,2.49500998,NA,NA,5.4,13.7,6.1,0.1,7.66,NA,0.1170896651,0.08830192831,38,49.5,0.1579997716,17.14734945,9.389094832,3.080994246,64,116.9823946,36.1142,70.23,NA,41.5,NA,4609.537262,0,129.5,37.3051,5.2,95.19134,7.1,0,0,"",2.913963634,-0.5092179006,-1.639056464,NA,NA,2019,1,NA,34,"CUB","CU","192"
"50","Curacao",-16.47701404,1.9,NA,19951.3279,78.07560976,7.865000032,NA,NA,4797.670436,10.79093053,72.38422882,0.4107714886,89.352,NA,0.2786956066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.92511593,31.6495759,NA,NA,1.319593903,NA,NA,37.72628905,NA,0,NA,NA,NA,36.1,NA,3481.453349,0,NA,NA,NA,99.49775,5.8,0,NA,"",NA,0.4716437436,-0.244282399,NA,6,NA,NA,NA,NA,NA,NA,NA
"51","Cayman Islands",NA,NA,NA,NA,NA,3.40911016,NA,NA,NA,0.8310973333,87.43736874,0.3786953388,100,NA,2.833122427,NA,NA,NA,NA,NA,2.04862752,2.592812143,2.200440226,NA,NA,NA,NA,NA,0.2,NA,NA,39.56509414,0,NA,NA,1.429388302,NA,NA,8.91920852,NA,0,NA,NA,NA,40,NA,12717.90551,0,NA,77,3,96.125,13,0,NA,"",NA,0.7950066669,-0.05320574467,NA,NA,NA,NA,NA,NA,"CYM","KY","136"
"52","Cyprus",-1.422226775,1.354,2.7,23217.48415,80.35,-0.4646817017,14.90799999,NA,3624.971253,4.254249685,76.24447623,1.847005695,66.946,39.74524992,1.96230401,0.04324248066,90.15019989,1.003180427,0.99619,54,7.159095733,3.130451342,2.211670353,145.5,29.26123182,1.3,4.9,10.8,25.3,1.89,34,16.83403415,15.50407628,7,20.1,0.7521855226,70.3258965,13.07084645,5.260461605,174,805.4798296,60.10123,29.54,29,36.8,NA,17231.91945,0,78,71.7159,3.4,99.61307,6.2,0,0,"2,513.90",23.25611442,0.3598917287,-0.5756305703,-5.286675358,5,1960,0.3,NA,75,"CYP","CY","196"
"53","Czech Republic",0.2467439866,1.57,3.1,17715.61685,78.57804878,6.55870049,5.046000004,100,6258.891037,24.12772753,53.76661605,2.227911979,73.477,33.4067122,5.309238519,0.3051722964,82.1782074,0.9319993023,1.00706,41,5.204557868,5.091434535,5.507065721,222,52.47851859,0.8,13.7,14.4,0.2,1.89,25.9,3.84222568,9.577037261,4,29.6,0.1965887485,81.04930107,27.95578033,9.165978376,184,1583.561215,64.48163,16.66,29.8,42.1,1.67,12390.50531,0.5025574008,111,75.66884,6.5,99.88009,5.5,0,0,"6,495.90",14.88707772,-0.08322165221,NA,-4.078607525,7,1992,0.2,1.1,21,"CZE","CZ","203"
