"","Country","Current.Account.Balance...GDP","Fertility.Rate","Infant.Mortaility.under.5.per.1.000","GDP.per.Capita","Life.Expectancy","X5.Year.Inflation","Unemployment","Literacy.Rate..2018.with.some.data.added.","Electricity.Consumption.2014","Manufacturing...GDP","Services...GDP","Ariculture...GDP","Urbanzation...Population","Government.Spending...GDP","GDP.growth","Natural.Reasorces...GDP","Bank.Account...pop..2014.data.","Female.Male.Bank.Accounts","Gender.Equality.Education","Ease.of.Doing.Buissness.Rank.2019.","Manufacturing.Growth","Services.Growth","Agriculture.Growth","Time.to.Pay.Taxes","Medium.and.High.Tech.Industry..","Homocides.per.100000","Suicides.per.100000","Alcohol.Consumption..2016.","Muslim.Population.Percent","Tariff.Rate.Weighted.Average","Gini.Index.2015.14","Migrant...Population","McDonalds.per.Million","Maternal.Mortality.per.100000","Air.Polution.Deaths.per.100000","Population.Growth.Rate","Exports...GDP","Capital.formation...GDP","CO2.Emissions.per.capita..2014.","Visa.Free.Passport.Destinations","Papers.per.Million","Higher.Education","Press.Freedom.Index.2016.","Age.at.First.Marriage..Female.","Median.Age..2018.","Economic.Complexity","Km.of.roads.per.Million.People..Different.Years.","Steel.Production.per.capita","Height.of.Tallest.Building..meters..2020","X..using.Internet","Hospital.Beds.per.1000..Different.Years.","Basic.Water.Services...Population","Tuberculosis.per.100000.people","Legality.of.Homosexuality..2019.","Legality.of.Marital.Rape..2020.","Wheat.Productivity.per.Hectare","Video.Game.Revenue.Per.Person..2019.","Log.Tourists.Population.","Log.Container.Port.Traffic.Per.Capita.","Log.Patent.Applications.per.Capita.","S.P.Credit.Rating","Year.2020.Constitution.was.adopted","Mortality.Rate.Unsafe.Water.per.100000","Bond.Yeild.8.29.2020","X2009.Importance.of.Religion","ISO3","ISO2","UN"
"96","Honduras",-4.703505537,2.581,19.5,2286.200039,74.495,26.54315028,4.592000008,87.20524,619.8363949,17.54311202,58.83306705,12.21597845,55.165,21.97608747,3.840079971,1.898976048,31.48635864,0.7490581107,1.06183,133,3.945678516,4.782966146,2.630863813,224,7.163458027,57.5,2.8,4,0.3,2.79,49.6,0.3476135162,1.097343595,67,60.7,1.741494121,45.16675746,25.11800475,1.057648023,134,3.385304989,20.39552,44.62,NA,23,-0.84,1540.450938,0,122.5,27.1,0.7,93.73731,40,0,0,"556.2",NA,-1.015174695,-1.090443665,-6.357597376,3,1982,3.6,NA,NA,"HND","HN","340"
"97","Heavily indebted poor countries (HIPC)",NA,4.946646116,76.42099179,920.4532125,61.85295324,23.94079268,4.057182751,62.6266,208.653497,10.38151898,45.08650779,23.94233013,34.6414688,16.9487328,4.921544707,10.13435008,NA,NA,0.91223,NA,6.73284084,4.191851149,3.079915632,326.7105263,NA,NA,7.055557429,4.015922684,NA,NA,NA,1.668414076,NA,493,173.3144633,2.834158946,24.23331848,26.5607103,0.2677773224,NA,8.833510635,8.69832,NA,NA,NA,NA,NA,NA,NA,14.64336,NA,55.60001,NA,0,NA,"",NA,-1.531407388,NA,NA,NA,NA,41.11049347,NA,NA,NA,NA,NA
"98","Croatia",5.031527645,1.4,4.9,11780.13124,77.27560976,4.037405997,16.17499924,99.12536,3714.382988,12.50420408,57.78317673,3.015924525,56.155,40.76279936,2.400591879,0.6946696454,86.02509308,1.040897587,1.03194,51,4.178390313,2.23128826,2.3854809,206,34.21234999,0.9,17.8,8.9,1.5,1.89,31.1,13.60471399,8.088297566,8,35.5,-0.8240991639,46.37974943,20.61698677,3.973804906,170,963.6302563,66.49102,27.91,28.1,43,0.66,6996.377394,0,108,69.8031,5.6,99.58684,13,0,0,"5,713.80",14.27346629,0.4796001958,-1.364027918,-4.395735092,5,1990,0.1,0.99,70,"HRV","HR","191"
"99","Haiti",-3.103572033,3.098,70.6,815.7282844,62.485,30.77633055,13.72399998,61.69135,39.05580506,NA,NA,NA,52.427,NA,1.211218752,0.9462258365,18.85867691,0.7433764449,NA,179,4.560534191,2.876078529,-5.436424041,184,5.259656507,10,11.7,5.8,0.1,6.55,NA,0.3690482003,0,488,184.3,1.379519207,20.00736467,32.39937306,0.2711401868,49,3.073243039,NA,24.66,NA,23,NA,398.8577671,0,49,12.1977,0.7,64.56749,194,0,1,"",NA,-1.316553096,-1.781597733,NA,NA,2012,23.8,NA,85,"HTI","HT","332"
"100","Hungary",2.727244256,1.45,5.1,12503.68207,75.56829268,13.84323409,6.813000202,99.1,3965.958233,20.50543719,53.65253448,3.741421188,70.5,42.90445376,3.536425476,0.2897274051,72.25682831,1.007199046,1.00297,52,8.660282529,2.36388254,-0.2039021705,277,59.98868551,2.3,20.3,11.4,0.6,1.89,30.4,4.562465252,9.143527784,12,38.8,-0.237855002,87.97938917,23.30155948,4.265574976,182,663.765256,48.96214,28.17,29.3,42.3,1.35,21415.25961,0.1727110804,100,72.8347,7,99.97053,10,0,0,"4,535.90",12.08977563,0.1626929692,NA,-4.238016454,5,2011,0.2,2.36,39,"HUN","HU","348"
"101","IBRD only",NA,2.098915323,26.55195149,5569.060182,72.69987577,18.9188895,5.090759819,89.05044,2407.189676,19.57255467,53.70970298,7.733054966,53.16036479,NA,3.838403078,3.248133891,NA,NA,1.02171,NA,NA,4.308558366,2.698284879,333.9792424,NA,NA,11.27332059,6.186176329,NA,NA,NA,1.367849169,NA,95,114.4197504,0.9590496929,25.73435741,31.28814777,4.518461558,NA,186.4933891,39.90605,NA,NA,NA,NA,NA,NA,NA,40.02225,NA,92.57699,NA,0,NA,"",NA,-1.020466772,-1.109363296,-3.649372629,NA,NA,6.800881161,NA,NA,NA,NA,NA
"102","IDA & IBRD total",NA,2.584493284,45.98209799,4525.228811,70.35702857,21.98277505,4.944767534,84.19382,1962.085621,19.10698139,53.41546765,8.630462428,48.80751936,NA,3.859920561,3.468409116,NA,NA,0.99357,NA,NA,4.32620874,2.771402099,295.5003214,NA,NA,10.11510942,5.722727237,NA,NA,NA,1.425600911,NA,239,130.879617,1.276785782,25.30207154,30.7902655,3.538937949,NA,144.1064317,31.76954,NA,NA,NA,NA,NA,NA,NA,34.6914,NA,86.81202,NA,0,NA,"",NA,-1.086665954,-1.212177261,-3.772742907,NA,NA,13.82379495,NA,NA,NA,NA,NA
"103","IDA total",NA,4.142603351,76.55596446,1373.110467,63.26317985,24.35757015,4.405834202,66.35453,322.3671331,11.43239387,48.977323,22.06607971,35.61311682,NA,4.161145239,6.249517358,NA,NA,0.93497,NA,4.77640424,4.581549968,3.125662331,261.1812838,NA,NA,6.604065702,3.972664373,NA,NA,NA,1.601124197,NA,466,180.1579583,2.251553227,18.62276844,23.09919799,0.5286534037,NA,15.77351414,10.70738,NA,NA,NA,NA,NA,NA,NA,18.41003,NA,69.32914,NA,0,NA,"",NA,-1.39859777,-1.919446962,NA,NA,NA,34.9512735,NA,NA,NA,NA,NA
"104","IDA blend",NA,4.258854271,90.86103847,1973.224112,61.37157717,22.9510546,5.01495847,67.0462,397.621022,10.62795622,52.97668091,21.93154101,41.00528815,NA,3.873094127,5.197636543,NA,NA,0.9171,NA,1.34717233,4.606618467,3.46494412,250.2891176,NA,NA,6.399362285,5.718000468,NA,NA,NA,1.684668631,NA,522,204.8753513,2.32082517,13.77715108,17.73430834,0.8667863843,NA,28.64737504,10.28997,NA,NA,NA,NA,NA,NA,NA,24.60295,NA,77.28671,NA,0,NA,"",NA,-1.526265313,-1.893369304,NA,NA,NA,40.10417495,NA,NA,NA,NA,NA
"105","Indonesia",-2.035041922,2.389,28,3331.695128,70.768,25.60922929,4.513999939,95.65856,811.9069049,20.98578743,43.30908092,13.49264356,53.313,14.50131829,4.8763223,3.71844503,36.05899048,1.082214843,0.98564,73,4.329308882,5.451880535,3.754749446,234,35.34548487,0.6,3.4,0.8,87.2,NA,41,0.1276755432,0.866929241,192,112.4,1.267465577,21.16017926,34.06279218,1.81937838,71,17.89260679,33.25072,41.72,22.3,30.2,-0.38,3680.478429,0.01896407715,288.6,21.97607,1.2,87.95873,325,1,0,"",4.195318291,-1.394938812,-1.333854678,-5.387778699,5,1945,7.1,6.86,99,"IDN","ID","360"
"106","IDA only",NA,4.08380429,69.0378213,1057.633648,64.23176212,24.6221065,4.132473123,65.99904,272.6076471,12.18046762,45.5211921,22.18386126,32.84698687,15.36886179,4.462011394,7.342220929,NA,NA,0.94277,NA,8.4387794,4.552546931,2.781615845,264.4298246,NA,NA,6.709069223,3.061956384,NA,NA,NA,1.558184349,0,436,167.4889902,2.216165909,22.92529298,27.89019351,0.3536591485,NA,9.181391834,10.92694,NA,NA,NA,NA,0,0,NA,15.23223,NA,65.25264,NA,0,NA,"",NA,-1.337298869,NA,NA,NA,NA,32.33930246,NA,NA,NA,NA,NA
"107","Isle of Man",NA,NA,NA,81606.28003,NA,1.558284294,NA,NA,NA,2.79541492,86.31755134,0.4926853002,52.245,NA,-0.9,0,NA,NA,NA,NA,2.803692945,1.324538032,7.81972265,NA,NA,1.2,NA,NA,0.2,NA,NA,51.51629073,12.01432107,NA,NA,-0.3046990757,NA,NA,NA,NA,0,NA,NA,NA,44.2,NA,6007.160535,0,NA,NA,1.6,99.075,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IMN","IM","833"
"108","India",-1.067549349,2.295,43.6,1605.605431,68.607,28.46581894,2.782000065,74.37299,804.5142281,15.58385459,47.78374812,16.17450811,32.777,15.12569036,7.996253786,1.834144643,53.14155197,0.6872259283,1.07018,63,13.05939358,9.438240948,0.6495993124,252.88,42.88352321,3.4,16.5,5.7,14.2,7.32,NA,0.3997527091,0.3053079925,158,184.3,1.116633091,19.81318916,32.11673014,1.727670507,58,77.71088292,26.76899,43.17,22.2,28.1,0.25,4505.806337,0.06838899032,320,17,0.7,91.04228,217,0,1,"3,093",0.8434133292,-1.993992951,-2.04243216,-5.017675701,5,1949,18.6,6.1,90,"IND","IN","356"
"109","Not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Ireland",10.86873152,1.85,3.8,61995.42278,81.45365854,12.68241165,9.904000282,100,5672.064134,34.56629565,53.96027055,0.8940004733,62.538,27.01792663,25.16253309,0.05663553915,94.71014404,1.001240195,1.00846,24,91.82717579,5.265264796,5.870504164,81,54.35662996,0.7,11.5,13,1.4,1.89,31.8,15.91693657,18.9282888,6,11.9,0.9448453075,121.9650386,25.71417518,7.313939808,186,1456.21068,77.23215,12.4,33.4,36.8,1.35,20449.99561,0,79,83.49479,2.8,97.37213,7.3,0,0,"9,539",43.59886745,0.3067230953,-0.7377281907,NA,7,1937,0.1,-0.04,54,"IRL","IE","372"
"111","Iran, Islamic Republic of",NA,2.041,16,4916.085938,75.796,94.59388603,11.06000042,85.54425,3022.122563,12.37444491,55.90623757,10.48470358,73.358,NA,-1.32064512,16.14157248,92.28025055,0.898950733,1.00529,127,-4.639570372,-2.295634842,4.622332183,324,46.26195314,NA,4,1,99.4,NA,39.5,3.446397535,0,17,50.9,1.316350598,19.74338617,34.033613,8.384101101,41,474.3084394,NA,66.52,23.8,30.3,NA,2726.461471,0.2051158831,162.5,45.33498,1.5,95.15778,16,1,1,"1,953.20",6.204436962,-1.175744011,-1.559318537,NA,NA,1979,1,NA,73,"IRN","IR","364"
"112","Iraq",-1.555964146,3.972,29.5,4989.803075,69.929,0.5835838633,8.079000473,50.14052,1328.230416,1.820328668,54.44002268,4.80629971,69.921,25.39772081,2.477664617,35.1328779,10.97234917,0.5105403461,NA,172,-25.70000178,-2.021932546,-36.88328634,312,6.234244191,NA,3.1,0.4,95.7,NA,NA,0.9715760983,0.02811179194,83,75.1,3.316223191,35.34015444,24.69440154,4.89491703,28,25.14178112,NA,54.35,21.9,20,NA,1647.126113,0,205,58,1.4,94.68708,43,0,1,"3,318.10",2.951738154,NA,NA,-5.026066663,3,2005,3,NA,84,"IRQ","IQ","368"
"113","Iceland",5.120581763,1.8,2.2,52428.59576,82.46829268,18.03855725,3.979000092,100,53832.47909,10.1307636,62.53078227,5.250786904,93.7,29.77428829,4.467860508,0.0002933249966,NA,NA,1.00389,26,5.584119783,4.209238773,4.707270741,140,15.0472275,0.9,14,9.1,0.2,1.42,26.8,11.3901495,0,4,8.7,1.041940387,51.93896322,19.6013501,6.059657407,180,1839.698925,75.76606,15.3,32.7,36.5,NA,38964.37586,0,76,98.2,3.2,100,2.4,0,0,"",NA,0.590667724,-0.1017814707,-3.917525202,6,1944,0.1,2.66,NA,"ISL","IS","352"
"114","Israel",5.159536466,3.09,3.9,35855.27504,82.05121951,11.79008903,5.250999928,100,6600.89828,13.0163643,68.30736039,1.189687749,92.179,35.59252865,2.567352135,0.2475711114,89.95277405,1.001455075,1.00825,35,0.3381257781,3.039264158,-6.498287701,239,39.67539821,1.4,5,3.8,18,2.83,39.8,24.94690004,22.07610888,3,15.4,1.981288976,31.20755382,20.01462863,7.863181348,160,1437.770432,65.48689,32.58,25,29.9,1.24,2215.486689,0,238.5,77.35209,3.1,100,4,0,0,"3,844.40",47.97078794,-0.4762463026,-0.5215041189,-3.814346073,7,NA,0.2,0.67,51,"ISR","IL","376"
"115","Italy",1.334380288,1.35,3.4,30170.5166,82.54390244,5.952461877,11.89599991,99.15576,5002.40668,14.39880166,66.69684267,2.01954451,69.565,42.35259267,0.9239924875,0.08337033487,87.33457947,0.9051943022,0.99653,58,2.540595481,0.8710957215,4.742471453,269,43.77197438,0.8,8,7.5,4.8,1.89,35.4,9.680767742,9.846768799,2,15,-0.09637613314,29.71598237,17.10726702,5.270866786,188,1161.184163,60.93946,28.93,31.3,45.5,1.12,8030.550407,0.3622557083,231,58.14173,3.4,99.44225,6.6,0,0,"4,203",35.69865344,-0.07812545934,-0.7826105928,NA,5,1947,0.1,1.1,72,"ITA","IT","380"
"116","Jamaica",-3.040556222,2.026,15.9,4892.897447,74.098,34.39211453,13.51099968,88.1,1050.732904,7.949656654,61.85560487,6.299908702,54.833,25.79069631,0.9048459897,1.285553077,78.45820618,0.981887755,1.06418,71,1.995020532,0.7058698086,0.02667596906,280,18.7673031,42.1,2.1,4.2,0.2,10.52,NA,0.8293670469,0,78,25.4,0.5509749452,29.92427986,21.35379131,2.581445886,86,52.98820036,27.13061,12.45,NA,26,-0.29,7644.35817,0,60,42.22122,1.7,90.46777,4.5,1,1,"",NA,-0.1341012522,-0.2426995806,-5.615953206,3,1962,0.6,NA,70,"JAM","JM","388"
"117","Jordan",-8.969889396,3.071,17.7,4097.411436,74.078,22.94296023,13.07499981,98.22711,1864.675855,19.52451709,61.25557207,5.115156018,90.256,26.17013373,2.39169597,1.47891139,24.61591148,0.4661486718,NA,75,1.336474661,2.514347349,4.962008688,145,26.74064972,1.6,2.9,0.7,97.2,3.98,NA,40.9771116,3.345356834,48,51.2,3.811240004,37.06843731,20.61690025,2.965238308,51,156.9587469,36.631,44.49,23.8,22.5,-0.05,752.1657139,0,188,60.11438,1.4,99.00478,5.7,0,1,"1,122.10",7.122372613,-0.3916159117,-1.082123881,-5.354135388,4,1952,0.6,NA,96,"JOR","JO","400"
"118","Japan",3.109068449,1.45,3,34524.46986,83.79390244,1.121653213,3.400000095,100,7819.714636,20.81332184,69.29594945,1.113905411,91.381,17.16770201,1.222921041,0.03002722872,96.64558411,1.00809368,NA,29,4.149553596,0.9429426139,-4.485442155,181.5,56.77074156,0.3,19.4,8,0.1,2.3,NA,1.614775057,23.39921819,5,11.9,-0.1061249937,17.61097554,24.02266959,9.538706103,191,796.8051219,NA,28.67,29.3,47.3,2.3,9556.319362,0.8274278164,300,91.05803,13.4,98.92979,16,0,0,"3,688.40",139.3334959,-0.8090044818,-0.790903291,-2.69125591,6,1947,0.2,0.06,24,"JPN","JP","392"
"119","Kazakhstan",-3.26029264,2.73,11.9,10510.77189,72,42.42239892,4.929999828,99.78163,5600.208465,10.27540938,59.29762787,4.710547419,57.191,15.48714271,1.2,10.83166094,53.9074173,1.068900956,1.02092,25,0.2000000006,3.1,3.499999994,178,14.2262004,4.8,24.9,7.7,70.2,4.85,26.8,20.12330509,0.9120547762,12,62.7,1.461484685,28.51670801,27.9079156,14.36316974,76,66.75442914,46.37351,54.55,24.3,30.6,0.02,5544.551995,0.2052123246,188,70.82993,6.7,94.46207,81,0,0,"1,211.10",11.79970867,-0.4358880878,NA,-4.13995351,5,1995,0.4,NA,53,"KAZ","KZ","398"
"120","Kenya",-6.700667578,3.765,46.3,1336.883349,64.798,43.43571441,9.675000191,81.53497,164.3255487,9.371073341,46.21640975,30.19240945,25.658,22.69333553,5.718507134,2.840591546,74.65783691,0.9043526151,NA,56,3.598470454,6.380337337,5.342778854,213.5,15.00249183,4.8,3.1,3.4,11.2,11.47,40.8,2.354722885,0,353,78.1,2.491936871,16.59244304,21.46595654,0.3059237219,72,20.08987948,9.22956,31.16,20.2,19.7,-0.69,3371.357768,0,200,16.58785,1.4,57.6383,380,1,0,"1,452.50",0.4803842807,-1.633253857,-1.648286417,-5.543418481,3,2010,51.2,11.65,94,"KEN","KE","404"
"121","Kyrgyzstan",-15.75924589,3.2,22.3,1121.082835,70.65121951,46.29302198,7.559999943,99.586,1941.221832,14.0507757,52.14983226,14.06076433,35.777,27.24194835,3.9,7.13678656,18.47060204,1.054595674,1.00498,80,-6.2,3.602185271,6.2,225,2.956733328,5.2,8.1,6.2,80,3.2,29,3.440796423,0,66,110.7,2.059025966,35.18960049,34.67146926,1.646395339,63,8.601789521,46.66787,30.16,23.5,26.5,-0.43,5707.666739,0,75,30.24704,4.5,87.07852,136,0,0,"2,446.10",NA,-1.170794256,NA,-4.688660479,NA,2010,0.8,NA,NA,"KGZ","KG","417"
"122","Cambodia",-8.683684682,2.593,32,1162.90492,68.637,9.9374385,1.19599998,80.52649,271.3672582,16.01377197,39.83267342,26.58036001,22.188,12.04554635,7.036087179,1.730775777,22.16526604,0.8439046297,NA,144,9.224423419,7.06323286,0.2029009031,173,0.2595291886,NA,5.3,6.7,1.9,NA,NA,0.4747944508,0,178,149.8,1.603706854,61.71842376,22.4529982,0.4376535852,54,7.04573984,13.13563,40.7,21,25.3,-1.48,3543.486569,0,187.3,6.433191,0.8,75.38111,367,0,0,"",3.350205484,-0.5119585226,-1.597645831,NA,NA,1993,6.5,NA,NA,"KHM","KH","116"
"123","Kiribati",32.87090466,3.692,57.5,1542.57525,67.291,9.807006517,NA,NA,NA,3.8450225,60.70745253,21.57655581,51.619,65.75066606,10.40540793,0.06827217111,NA,NA,NA,164,3.569104788,7.187689639,1.327843375,156,NA,NA,14.5,0.4,0.1,NA,NA,2.80458625,0,97,140.2,1.397075206,11.89770607,NA,0.5698732071,122,13.34174705,NA,NA,NA,24.6,NA,6039.844947,0,15,12.99748,1.9,69.07617,559,1,0,"",NA,-1.453984406,NA,NA,NA,1979,16.7,NA,NA,"KIR","KI","296"
"124","Saint Kitts and Nevis",-10.29567425,NA,13.1,18286.31939,NA,5.685745409,NA,NA,NA,6.30310831,63.25227966,1.05474858,30.827,25.26810289,2.146656524,0,NA,NA,0.99273,139,0.05386770093,1.106705374,-1.990521327,203,NA,NA,NA,9.4,0.3,12.29,NA,13.39343554,0,NA,NA,0.8413711538,57.45809786,NA,4.549986213,156,334.5507099,86.68149,NA,NA,35,NA,7480.030467,0,26,75.7,2.3,NA,4.1,0,0,"",NA,0.3625866001,-0.7092954072,NA,NA,1983,NA,NA,NA,"KNA","KN","659"
"125","Korea (South)",7.602063544,1.239,3.5,27105.07623,82.02439024,6.476536552,3.599999905,100,10496.51367,27.08555889,54.04269444,2.085013853,81.634,24.89953205,2.790236167,0.02955518927,94.36081696,0.9789159076,0.99554,5,1.761505069,2.810722213,-0.4316125562,188,66.96212891,0.7,28.3,10.2,0.1,5.72,NA,2.639159354,8.762137889,12,20.5,0.5272884974,45.33668976,28.91811192,11.57034541,189,1227.991671,94.33984,28.58,30.4,41.8,1.65,2170.226698,1.366266243,555.7,89.9,11.5,99.56315,79,0,0,"3,067.10",112.9864939,-0.5860719476,-0.3036449244,-2.484266401,7,1948,1.8,1.49,NA,"KOR","KR","410"
"126","Kuwait",7.492750182,2.083,8.6,29869.52939,75.13,-7.778514089,2.200000048,96.05647,15590.59991,6.977573949,58.43826962,0.5378075206,100,51.99966351,0.5930196172,37.96538878,72.90818024,0.807016986,1.04884,83,-5.654911839,0.8463768779,-5.355129651,98,30.85034974,NA,2.3,0,74.6,2.96,NA,73.63955073,20.07513314,11,103.8,3.844181983,53.76624808,25.42808492,25.84922928,95,228.1421559,55.14833,32.59,NA,29.3,0.26,1722.811426,0,412.6,72,2,100,22,1,1,"4,888.20",27.37518156,0.2575897535,-0.5688919411,NA,7,1962,0.1,NA,NA,"KWT","KW","414"
"127","Latin America & Caribbean (excluding high income)",NA,2.09793196,18.16184364,8449.223414,74.76044681,19.50327484,6.644717906,93.31166,2086.220414,13.11461792,60.43093245,4.599970527,79.64035265,29.2116682,-0.06406108302,2.900187203,51.44634247,0.8945897586,1.01688,NA,-2.617544759,0.6740272887,3.444109717,400.0208333,NA,NA,6.949673228,6.814136378,NA,5.3,NA,1.257481895,NA,79,39.99786696,1.045692024,19.59265674,19.64822332,2.962682203,NA,145.9596803,47.68217,NA,NA,NA,NA,NA,NA,NA,53.79044,NA,96.01402,42,0,NA,"",NA,-0.8843607633,-1.250478147,-4.922290014,NA,NA,1.716831348,NA,NA,NA,NA,NA
"128","Lao PDR",-15.75779922,2.796,53.6,2134.704224,66.546,32.54669346,0.6800000072,NA,NA,8.190138468,44.16917598,17.58814396,33.108,NA,7.269591775,8.911875691,NA,NA,0.93726,154,4.418297515,8.01611732,3.5650404,362,3.774775246,NA,8.5,10.4,0.1,2.35,NA,0.3270203585,0,209,188.5,1.515739448,33.95225731,31.5566516,0.2943648833,50,10.62279452,18.16504,71.58,NA,23,-1.22,5869.609462,0,138,18.2,1.5,77.99142,182,0,0,"",NA,-0.2793637405,NA,-6.828734893,NA,1991,11.3,NA,NA,"LAO","LA","418"
"129","Lebanon",-17.09248502,2.103,8.3,7649.832611,78.768,18.25276559,6.232999802,95.06944,2588.30067,8.235822596,74.15526908,3.415532319,88.106,22.87713635,0.4150307647,0.001874525663,46.92713547,0.5273704999,NA,143,-4.778949317,1.700125724,-13.88343657,183,15.56869691,3.9,3.3,1.5,57.7,3.39,NA,34.1456803,3.520761317,29,51.4,4.225187136,27.31756798,21.14278403,3.843598231,40,197.2407028,NA,31.95,28.8,30.5,0.12,1102.610599,0,195.2,74,2.9,92.25819,12,1,NA,"3,295.40",15.61381106,-0.6338194805,-0.7620128086,-4.773698567,3,1926,0.8,NA,NA,"LBN","LB","422"
"130","Liberia",5.38600191,4.54,78.9,710.3838577,62.269,22.53099242,2.184000015,48.30136,NA,2.14038401,53.0924457,34.37069562,49.82,NA,0,26.09825823,NA,NA,0.86358,175,-0.07381643882,6.903353057,0,139.5,NA,NA,6.5,5.8,20,NA,33.2,2.526491982,0,691,170.2,2.552864685,19.46902738,20.15732452,0.2144933886,49,2.584840225,NA,30.71,18.9,17.8,-0.72,2370.182213,0,36,33,0.8,71.94231,308,1,0,"",NA,NA,-1.650524131,NA,NA,1986,41.5,NA,NA,"LBR","LR","430"
"131","Libya",-33.56783229,2.356,13.3,4337.919139,72.121,-16.14407605,16.09499931,NA,1811.05517,NA,NA,NA,79.27,NA,-8.862039363,28.68363274,NA,NA,NA,186,NA,NA,NA,889,NA,NA,4.2,0,97,NA,NA,12.28244987,0,70,71.9,0.8807013103,39.96666073,NA,8.95879433,38,28.24417312,NA,57.89,29.2,28.9,NA,15584.15254,0,144,19.01608,3.7,97.63947,40,1,1,"794.6",NA,NA,-1.147720603,NA,NA,2011,0.6,NA,NA,"LBY","LY","434"
"132","Saint Lucia",4.237300449,1.473,17.8,9160.734157,75.596,14.32498657,24.09000015,NA,NA,2.131376028,74.89735976,2.292518137,18.515,20.04108205,0.2725003896,0.02066557153,NA,NA,0.97756,93,0.6612750873,1.205873124,2.793745743,110,7.829181495,15.8,7.8,9.9,0.1,7.84,NA,6.903280558,0,115,30,0.4644378309,37.80338036,17.29418037,2.282928389,146,17.36208032,16.32605,NA,NA,34.8,NA,6755.021605,0,25,42.53093,1.3,98.16241,9,0,1,"",NA,0.2846604671,-0.5849125281,NA,NA,1978,0.6,NA,NA,"LCA","LC","662"
"133","Latin America & Caribbean",NA,2.085470172,17.9,8856.928817,74.95969785,16.68544117,6.640658527,93.86706,2155.702676,13.45844462,60.24712374,4.470012271,79.85401303,28.917224,0.0873921115,3.255645645,51.90228271,0.8935565868,1.01639,NA,-2.441354901,0.8284169549,3.471724256,355.1060606,NA,NA,7.121274906,6.924973387,NA,5.36,NA,1.414887868,NA,77,39.33399853,1.032471213,21.03153436,19.82599663,3.101639104,NA,151.0984115,48.8787,NA,NA,NA,NA,NA,NA,NA,54.61614,NA,96.1471,41,0,NA,"",NA,-0.8077115054,-1.122059683,-4.915899072,NA,NA,1.661073038,NA,NA,NA,NA,NA
"134","Least developed countries: UN classification",NA,4.17847406,71.48266985,1020.578572,63.94777696,25.58597294,4.027289725,64.81693,208.2633433,11.04462323,45.78046628,21.06637281,32.00126862,14.95993218,4.047271519,7.984861276,NA,NA,0.93758,NA,9.252813895,4.195663183,3.170488668,272.9111111,NA,NA,6.61413724,3.03590896,NA,NA,NA,1.244484642,NA,442,166.680347,2.382972897,21.73189384,28.96281742,0.3192779335,NA,8.253498592,9.59373,NA,NA,NA,NA,NA,NA,NA,13.70016,NA,63.04326,NA,0,NA,"",NA,-1.474823609,NA,NA,NA,NA,34.34608809,NA,NA,NA,NA,NA
"135","Low income",NA,4.737567673,75.5,792.2081299,62.55473825,27.20059063,3.760172943,63.18397,NA,7.901721903,41.94382308,25.85017604,31.2873623,NA,2.874425853,10.9278906,22.88455582,0.7428458667,0.90703,NA,8.077576679,5.228608877,2.798130242,279.7241379,NA,NA,6.648499661,3.587388474,NA,9.07,NA,1.533542975,NA,491,172.6826545,2.518952974,20.12414418,27.58643035,0.3079583453,NA,7.216869332,8.98101,NA,NA,NA,NA,NA,NA,NA,12.19814,NA,55.74464,219,0,NA,"",NA,NA,NA,NA,NA,NA,39.71799515,NA,NA,NA,NA,NA
"136","Liechtenstein",NA,1.4,NA,167290.94,82.65609756,NA,NA,100,NA,NA,NA,NA,14.303,NA,NA,0.001903500407,NA,NA,0.85031,NA,NA,NA,NA,NA,NA,0,NA,NA,5.4,NA,NA,62.59625376,26.68801708,NA,NA,0.6613763013,NA,NA,1.182172313,178,823.3253269,33.54204,18.36,NA,43.2,NA,10141.44649,0,39,96.6412,NA,100,NA,0,0,"",NA,0.1798993658,NA,NA,8,1921,NA,NA,NA,"LIE","LI","438"
"137","Sri Lanka",-2.335829734,2.213,8.8,3843.780672,76.316,24.45788579,4.670000076,91.89575,531.0905766,16.26195112,57.379203,8.184271461,18.256,18.04987429,5.007683305,0.1250062177,82.69138336,1.010730463,NA,99,5.005514566,5.980634771,4.694255536,173,10.19152445,2.4,14.8,4.3,9.7,4.43,NA,0.1868500184,0.3338102051,36,79.8,0.9198110265,21.01310319,31.1813887,0.8852474733,42,35.59895088,19.75837,44.96,NA,32.8,-1.06,5440.772532,0,240,12.1,3.6,88.25597,65,0,0,"",2.288984263,-1.066808743,-0.6068496697,-4.983141937,3,1978,1.2,NA,NA,"LKA","LK","144"
